Question_ID,Questions,Answers,Tag
4181750,Apakah pegawai diperbolehkan mengambil cuti di masa probation?,"Pada umumnya, hak cuti penuh diberikan setelah melewati masa kerja minimal 12 bulan. Namun, dalam keadaan darurat, karyawan dalam masa probation tetap dapat mengajukan cuti dengan izin langsung dari atasan. Ini merupakan bentuk fleksibilitas yang tetap mempertimbangkan kebutuhan pribadi dan operasional tim. Kebijakan ini bersifat case by case, namun tetap menjunjung asas kemanusiaan dan profesionalisme.",Cuti
9100298,Apakah ada cuti untuk alasan pribadi mendesak seperti keluarga meninggal?,"Ya, sesuai Pasal 93 ayat 2 UU No. 13 Tahun 2003, karyawan berhak mendapatkan cuti khusus tanpa pemotongan gaji untuk alasan pribadi seperti anggota keluarga meninggal dunia. Di perusahaan BUMN, jenis cuti ini disebut cuti penting atau cuti kedukaan, biasanya diberikan selama 1–3 hari tergantung hubungan keluarga. Kami memahami bahwa kehidupan pribadi dan emosional juga mempengaruhi kinerja, sehingga cuti ini ditujukan agar Anda bisa fokus pada keluarga di masa sulit.",Cuti
6981545,Bagaimana kebijakan perusahaan terhadap cuti haji atau umroh?,"Perusahaan memberikan cuti khusus untuk ibadah haji sesuai dengan **Permenakertrans No. PER.02/MEN/1994,** yaitu **maksimal 40 hari.** Untuk ibadah umroh, biasanya masuk dalam kategori cuti besar atau cuti tahunan tergantung kebijakan masing-masing BUMN. Anda perlu mengajukan surat permohonan kepada atasan dan HR jauh-jauh hari untuk penyesuaian jadwal kerja tim.",Cuti
2009922,Bagaimana mekanisme cuti besar?,"Cuti besar diberikan kepada karyawan tetap yang telah bekerja selama minimal 6 tahun tanpa jeda. Biasanya diberikan sebanyak 3 bulan dan tidak termasuk cuti tahunan. Di beberapa BUMN, cuti ini digunakan untuk penyegaran fisik maupun mental. Proses pengajuannya harus diajukan jauh hari dan disetujui oleh manajer serta HR.",Cuti
8471978,Bagaimana cara mengecek sisa cuti saya?,"Anda bisa mengecek sisa cuti tahunan dan cuti lainnya melalui sistem HRIS. Jika Anda mengalami kesulitan mengaksesnya, silakan hubungi HR langsung. Jumlah cuti yang tersisa biasanya diperbarui secara otomatis setelah permintaan cuti disetujui. Kami mendorong Anda untuk merencanakan cuti dengan bijak demi menjaga keseimbangan kerja dan kehidupan pribadi.",Cuti
2553795,Bagaimana prosedur jika saya terlambat masuk kerja?,"Kami memahami bahwa keterlambatan bisa terjadi. Namun, Anda wajib memberi kabar ke atasan atau tim HR sesegera mungkin. Terlambat tanpa pemberitahuan akan tercatat sebagai pelanggaran disiplin kerja. Dalam kondisi tertentu, keterlambatan bisa dimaafkan dengan alasan yang jelas.",Disiplin
2884887,Apa yang terjadi jika saya telat masuk kerja?,"Keterlambatan yang tidak dibenarkan akan tercatat dalam sistem kehadiran dan bisa mempengaruhi penilaian kinerja. Namun, perusahaan memahami jika ada kondisi darurat seperti kecelakaan lalu lintas atau bencana. Selama disertai bukti dan dilaporkan dengan segera, keterlambatan dapat dimaklumi. Tetaplah menjaga komunikasi terbuka dengan atasan.",Disiplin
3393534,Apa itu employer branding?,"Employer branding adalah upaya perusahaan membangun citra positif sebagai tempat kerja yang menarik bagi talent, baik dari sisi reputasi perusahaan (corporate branding) maupun reputasi produk (product branding).",Employee Branding
3839472,Siapa yang berperan dalam membangun employer branding?,"Employer branding dibangun oleh kolaborasi HR, Corporate Communication (Corcom), Marketing Communication (Marcom), serta karyawan sebagai employee ambassador.",Employee Branding
3055896,Apa dampak employer branding bagi HR?,Employer branding yang kuat akan meningkatkan ketertarikan digital talent untuk bergabung dengan perusahaan.,Employee Branding
4200873,Apa dampak employer branding bagi bisnis?,Employer branding meningkatkan kepercayaan customer terhadap produk dan layanan perusahaan.,Employee Branding
1337085,Apa saja tahapan employer branding funnel yang digunakan?,"Funnel employer branding terdiri dari:
1. Awareness
2. Interest (contoh: Digistar Internship, Digistar Class)
3. Desire (contoh: Digistar Club)
4. Apply",Employee Branding
2447683,Apa tantangan utama dalam employer branding?,"Tantangannya meliputi konsistensi program, relevansi dengan tren terkini, dan keberlanjutan improvement berbasis feedback.",Employee Branding
7995219,Apa itu employee engagement?,"Employee engagement adalah tingkat keterikatan karyawan secara emosional dan profesional dengan pekerjaan dan organisasi, yang mendorong produktivitas, loyalitas, dan kolaborasi tim.",Employee Engagement
2903196,Apa saja dimensi pengukuran employee engagement?,"Berdasarkan model AON Engagement, pengukuran meliputi:
1. SAY: Karyawan merekomendasikan perusahaan.
2. STAY: Tingkat retensi (attrition rate rendah).
3. STRIVE: Karyawan tidak hanya bertahan, tetapi berusaha optimal.",Employee Engagement
4197817,Apa saja fasilitas kesehatan yang diberikan?,"Perusahaan memberikan fasilitas BPJS Kesehatan dan BPJS Ketenagakerjaan, serta subsidi medical check-up tahunan. Untuk klaim kesehatan tambahan, silakan cek detail asuransi jika perusahaan bekerja sama dengan provider tertentu.",Fasilitas
3388962,Apakah BPJS dibayarkan oleh perusahaan?,"Ya, perusahaan menanggung sebagian besar iuran BPJS Kesehatan dan BPJS Ketenagakerjaan sesuai ketentuan pemerintah. Anda akan melihat potongan gaji kecil sebagai kontribusi wajib pekerja. Ini sesuai dengan Perpres No. 82 Tahun 2018 dan UU No. 24 Tahun 2011.",Fasilitas
4031860,Apakah ada program keseimbangan kerja dan kehidupan (work-life balance)?,"Ya, perusahaan mendorong budaya kerja yang sehat. Selain jam kerja yang fleksibel di beberapa divisi, kami juga menyelenggarakan kegiatan employee gathering, support mental health, dan jam pulang tepat waktu untuk menjaga keseimbangan antara pekerjaan dan kehidupan pribadi.",Fasilitas
5215843,Apa itu BPJS Ketenagakerjaan dan apa manfaatnya?,"BPJS Ketenagakerjaan adalah program jaminan sosial yang melindungi karyawan dari risiko kerja seperti kecelakaan kerja, hari tua, kematian, dan PHK. Perusahaan dan karyawan sama-sama berkontribusi untuk iurannya. Ini adalah bentuk perlindungan yang sangat penting bagi Anda dan keluarga.",Fasilitas
4925221,Bagaimana proses reimbursement biaya kesehatan?,"Anda dapat mengajukan klaim reimbursement dengan menyertakan bukti pembayaran asli, resep dokter (jika ada), dan form pengajuan klaim. Dokumen ini diserahkan maksimal 14 hari setelah layanan diberikan. Proses verifikasi memakan waktu 5–7 hari kerja. Untuk layanan rawat jalan, batas maksimum reimbursement dapat mengacu pada kebijakan benefit tahunan perusahaan.",Fasilitas
1590140,Kapan gaji dibayarkan setiap bulannya?,"Gaji umumnya dibayarkan setiap awal bulan di hari kerja setiap bulan. Namun, bila tanggal tersebut jatuh pada akhir pekan atau hari libur nasional, maka pembayaran akan dimajukan ke hari kerja sebelumnya. Hal ini sejalan dengan prinsip ketepatan waktu yang dijaga ketat dalam perusahaan yang menerapkan tata kelola profesional, termasuk dalam lingkungan BUMN. Ketepatan pembayaran gaji tidak hanya mencerminkan komitmen perusahaan terhadap kesejahteraan pegawai, tetapi juga sejalan dengan amanat dalam UU No. 13 Tahun 2003 Pasal 90 tentang perlindungan hak atas pengupahan.",Gaji
9676742,"Apakah gaji lembur dikenai pajak?	","Ya, sesuai peraturan perpajakan Indonesia, seluruh penghasilan termasuk upah lembur merupakan objek pajak dan akan dikenai Pajak Penghasilan (PPh 21). Namun, potongannya telah dihitung otomatis oleh sistem payroll perusahaan. Di BUMN, transparansi pemotongan ini bisa dicek melalui slip gaji atau sistem HRIS.",Gaji
2612846,Bagaimana jika saya belum menerima gaji tepat waktu?,"Kami sangat menjunjung tinggi profesionalisme dalam pembayaran gaji. Namun, apabila terjadi keterlambatan karena kendala teknis atau administrasi, Anda bisa segera melaporkan ke bagian HR atau keuangan. Berdasarkan UU No. 13 Tahun 2003 Pasal 95, keterlambatan pembayaran upah wajib dikenai denda dan tetap harus dibayarkan penuh. Di lingkungan BUMN, keterlambatan sangat jarang terjadi karena sistem keuangan terintegrasi dan transparan.",Gaji
4283807,Bagaimana jika saya mengalami kecelakaan kerja?,"Bila Anda mengalami kecelakaan saat menjalankan tugas pekerjaan, maka Anda berhak atas penanganan medis, klaim asuransi, dan cuti pemulihan sesuai kondisi. Hal ini dilindungi oleh PP No. 44 Tahun 2015 tentang Penyelenggaraan Program Jaminan Kecelakaan Kerja dan Kematian. Perusahaan BUMN bekerja sama dengan BPJS Ketenagakerjaan dan asuransi swasta untuk memastikan bahwa Anda mendapatkan pertolongan cepat dan perlindungan maksimal. Segera laporkan insiden ke atasan dan HR agar proses dapat segera ditindaklanjuti.",K3
9539480,Bagaimana cara saya naik jabatan atau dipromosikan?,"Promosi jabatan dilakukan berdasarkan hasil penilaian kinerja, kompetensi, serta kebutuhan organisasi. Di Telkom, terdapat talent management dan career development yang terstrukur. Dalam talent management, terdapat talent cluster dan talent class. Talent cluster mengelompokkan karyawan berdasarkan potensi dan kinerja (nilai K dan P selama 3 tahun terakhir). Talent class digunakan sebagai dasar perencanaan pengembangan karir dan promosi.  Promosi SIJAB mensyaratkan nilai K2 (kapasitas) dan P2 (performance) minimal selama 3 tahun terakhir.  Data performance kayrawan 3 tahun terakhir disimpan untuk pemetaan talent class, career development, dan penentuan readiness promosi",Karier
4134858,Apakah ada evaluasi kesehatan rutin untuk karyawan?,"Ya, sebagian besar BUMN menyediakan Medical Check Up (MCU) rutin setiap tahun atau dua tahun sekali. Ini dilakukan sebagai upaya preventif untuk menjaga kesehatan pegawai dan mendeteksi dini potensi gangguan kesehatan akibat pekerjaan. Anda akan dijadwalkan untuk mengikuti MCU oleh HR, dan hasilnya akan disampaikan secara rahasia kepada Anda.",Kebijakan
6167248,Bagaimana kebijakan perusahaan terkait PHK?,"Pemutusan Hubungan Kerja (PHK) merupakan langkah terakhir yang diambil oleh perusahaan dan hanya dilakukan setelah melalui pertimbangan matang serta proses sesuai ketentuan hukum. Perusahaan selalu mengupayakan alternatif lain seperti relokasi, pelatihan ulang, atau penyesuaian tugas sebelum memutuskan PHK. Jika PHK tidak dapat dihindari, prosesnya dilaksanakan secara profesional, transparan, dan berdasarkan peraturan perundang-undangan yang berlaku, seperti UU No. 11 Tahun 2020 tentang Cipta Kerja dan PP No. 35 Tahun 2021. Karyawan yang terkena PHK berhak atas kompensasi berupa uang pesangon, uang penghargaan masa kerja, penggantian hak lain (seperti cuti tahunan yang belum diambil), serta surat paklaring. Proses ini juga dilengkapi dengan komunikasi terbuka dan pendampingan dari tim HR, untuk memastikan masa transisi berjalan lebih baik. Perusahaan memahami bahwa PHK berdampak besar bagi karyawan, oleh karena itu pendekatan humanis dan empatik selalu menjadi prioritas dalam pengambilan keputusan ini.",Kebijakan
3340726,Bagaimana proses penilaian kinerja dilakukan?,"Penilaian kinerja karyawan dilakukan melalui Performance Management. Performance management adalah sistem pengelolaan kinerja karyawan yang selaras dengan strategi perusahaan. Di Telkom, performance management diturunkan dari Corporate Strategic Scenario (CSS) hingga ke Kontrak Manajemen (KM), yang menjadi dasar pengukuran kinerja individu. ",Kinerja
4893447,Bagaimana sistem pengukuran kinerja dan sistem reward kepada kinerja karyawan?,"Kinerja individu diukur melalui Nilai Kerja Individu (NKI) yang diturunkan dari Kontrak Manajemen (KM) dan OKR (Objective Key Result) masing-masing karyawan dengan komposisi kinerja:
1. 60%: Hasil review atasan atas OKR dan dampak kontribusi individu.
2. 40%: Kolaborasi kinerja unit (NKU/KM) yang melibatkan unit lain.
Nilai kinerja individu dikategorikan dalam klasifikasi P1 (sangat baik) hingga P5 (perlu perbaikan). Penentuan P1-P5 melalui kalibrasi oleh atasan. 
Reward system terdiri dari:
1. Financial reward (Jasprod): diberikan setiap tahun berdasarkan hasil kombinasi NKU dan NKI, dikalibrasi oleh atasan.
2. Recognition: program Best Employee dan Best Manager.",Kinerja
9630578,Apa itu SKP dan bagaimana penilaiannya dilakukan?,"SKP atau Sasaran Kinerja Pegawai adalah dokumen evaluasi tahunan yang digunakan untuk mengukur pencapaian kinerja individu. Setiap awal tahun, Anda akan menyusun SKP bersama atasan, dan hasilnya akan dinilai secara kuantitatif dan kualitatif. Penilaian SKP menjadi dasar penentuan bonus, promosi, dan pengembangan kompetensi. Di perusahaan BUMN, proses ini diawasi untuk menjamin objektivitas dan transparansi.",Kinerja
2115228,Apakah karyawan bisa mengusulkan ide atau inovasi ke manajemen?,"Sangat bisa! Perusahaan mendukung budaya inovasi dari semua lini. Telkom sendiri menyediakan platform ide/inovasi yang digunakan untuk mengelola seluruh ide-ide inovasi sehingga dapat ditindaklanjuti secara efektif dan sistematis, yaitu platform IdeaBox. Ide yang berdampak bisa mendapatkan penghargaan atau bahkan diimplementasikan.",Kinerja
5343181,Apa saja jenis kontrak kerja yang berlaku di perusahaan ini?,"Di perusahaan ini, secara umum terdapat dua jenis kontrak kerja yang berlaku, yaitu Perjanjian Kerja Waktu Tertentu (PKWT) dan Perjanjian Kerja Waktu Tidak Tertentu (PKWTT). PKWT atau yang sering disebut sebagai kontrak kerja sementara, digunakan untuk pekerjaan yang sifatnya tidak tetap, seperti proyek jangka pendek atau pekerjaan musiman. Sesuai dengan Peraturan Pemerintah No. 35 Tahun 2021, PKWT memiliki batas maksimal selama 5 tahun, termasuk perpanjangan. Setelah masa tersebut berakhir, perusahaan perlu memutuskan apakah akan mengakhiri hubungan kerja atau mengangkat karyawan menjadi tetap. Sementara itu, PKWTT merupakan bentuk kontrak kerja tanpa batas waktu yang diberikan kepada karyawan yang posisinya dianggap penting dan dibutuhkan secara berkelanjutan dalam operasional perusahaan. Karyawan dengan status PKWTT umumnya mendapatkan perlindungan dan hak yang lebih lengkap, termasuk pengembangan karier jangka panjang, tunjangan pensiun, serta program pelatihan lanjutan. Di lingkungan BUMN, pengelolaan jenis kontrak ini dilakukan dengan sangat hati-hati dan transparan untuk memastikan bahwa setiap karyawan memahami hak dan kewajiban sejak awal masa kerja. Pendekatan ini juga menjadi bagian dari komitmen perusahaan untuk menciptakan hubungan kerja yang adil, profesional, dan saling menghargai.",Kontrak
9541219,Apa yang terjadi jika saya ingin mengundurkan diri?,"Jika Anda memutuskan untuk mengundurkan diri, harap ajukan surat pengunduran diri minimal 30 hari kalender sebelumnya. Ini sesuai dengan praktik umum ketenagakerjaan dan juga tercantum dalam UU No. 13 Tahun 2003 Pasal 162. Perusahaan BUMN menghargai proses offboarding yang baik, termasuk exit interview, pengembalian aset, dan penyelesaian administratif lainnya. Kami akan membantu prosesnya agar tetap profesional dan menghormati kontribusi Anda selama bekerja.",Kontrak
7069853,Bagaimana proses perpanjangan kontrak karyawan non tetap?,"Perpanjangan kontrak dilakukan berdasarkan evaluasi kinerja dan kebutuhan unit kerja. Karyawan kontrak yang menunjukkan performa baik akan mendapatkan kesempatan untuk diperpanjang kontraknya atau bahkan diangkat menjadi pegawai tetap jika tersedia formasi. Sesuai dengan PP No. 35 Tahun 2021, hubungan kerja kontrak harus dicatat secara tertulis, dan perusahaan wajib memberikan kejelasan sebelum kontrak berakhir.",Kontrak
9434130,Apakah lembur dihitung terpisah dari gaji?,"Ya, upah lembur dihitung dan dibayarkan terpisah dari gaji pokok bulanan. Kompensasi lembur diberikan atas jam kerja yang melebihi 7 jam sehari dan/atau 40 jam seminggu, sesuai dengan ketentuan dalam Peraturan Pemerintah No. 35 Tahun 2021. Perusahaan akan menghitung berdasarkan jam lembur aktual dan besaran tarif lembur yang berlaku. Di lingkungan kerja BUMN, pelaporan lembur umumnya dilakukan melalui sistem digital, dan pembayaran dilakukan setelah verifikasi oleh atasan. Ini adalah bentuk penghargaan terhadap kontribusi ekstra dari pegawai.",Lembur
1546812,Bagaimana budaya perusahaan?,"Telkom Group menerapkan Core Values BUMN yaitu AKHLAK: Amanah, Kompeten, Harmonis, Loyal, Adaptif, dan Kolaboratif.
Nilai ini menjadi fondasi profesionalisme, loyalitas, dan dedikasi karyawan.
Untuk implementasinya, Telkom menjalankan program aktivasi budaya, penguatan budaya digital, dan evaluasi berkala melalui survei internal. Tahun 2024, Telkom mencatat:
- AKHLAK Implementation Index: 86,52% (Sehat)
- Digital Ways of Working Index: 85,77% (Differentiators)
- Net Promoter Score: 94,35% (Mature)",Lingkungan
6851366,Bagaimana perusahaan berkontribusi pada masyarakat atau lingkungan?,"Melalui program TJSL (Tanggung Jawab Sosial dan Lingkungan), Telkom aktif mendukung program pendidikan digital (Digital Talent Scholarship, IndiHome Learning), pemberdayaan UMKM (PADI UMKM), dan pengembangan desa digital. Dalam aspek lingkungan, Telkom menerapkan prinsip keberlanjutan seperti pengurangan limbah elektronik dan efisiensi energi di data center. Sebagai BUMN, Telkom tidak hanya berorientasi pada profit, tetapi juga pada penciptaan nilai sosial jangka panjang bagi masyarakat dan lingkungan.",Lingkungan
2746837,Bagaimana proses rekrutmen dan seleksi karyawan?,"Telkom sendiri memiliki dua jenis karyawan yang didasarkan alur rekrutmen, yaitu karyawan organik dan anorganik. Karyawan organik merupakan karyawan yang masuk melalui seleksi rekrutmen secara langsung dan resmi diadakan oleh HRD Telkom tanpa melalui perantara pihak ketiga, dalam hal ini adalah vendor outsourcing, alih daya, atau yayasan. Adapun seleksi rekrutmen secara langsung dan resmi diadakan oleh HRD Telkom adalah Rekrutmen Bersama BUMN (RBB) dan Rekrutmen melalui Telkom Career.",Rekrutmen & seleksi
5640861,Apa langkah selanjutnya jika saya lolos seleksi karyawan di Telkom?,"Setelah kandidat dinyatakan lolos seluruh tahapan seleksi, tahap berikutnya adalah penempatan di unit kerja atau posisi yang sesuai. Penempatan mempertimbangkan kualifikasi individu (KSAOs) dan kebutuhan posisi, dengan tujuan menciptakan person-job fit yang optimal. Karyawan yang sudah resmi diterima akan melakukan inaugurasi dan onboarding di Telkom. Untuk mempersiapkan karyawan menghadapi lingkungan kerja, Telkom melaksanakan pelatihan Great People Training Program",Rekrutmen & seleksi
5343182,Apa itu masa percobaan (probation)?,"Masa percobaan kerja atau probation adalah periode awal di mana perusahaan menilai apakah karyawan baru sesuai dengan posisi yang diisi. Umumnya berlangsung selama 3–6 bulan. Dalam masa ini, Anda akan dinilai dari kehadiran, etika kerja, kemampuan teknis, dan adaptasi terhadap budaya kerja. Setelah masa ini berakhir, barulah status kepegawaian Anda akan ditentukan.",Probation
5778437,Apakah ada masa percobaan (probation)?,"Ya, bagi karyawan baru dengan kontrak tetap (PKWTT), terdapat masa percobaan kerja maksimal 3 bulan. Selama masa ini, Anda tetap mendapatkan hak dasar seperti gaji dan BPJS. Tujuannya adalah untuk saling menilai kesesuaian antara karyawan dan posisi yang dijalani, sesuai Pasal 60 UU Ketenagakerjaan.",Probation
7760466,Bagaimana jika saya sakit lebih dari 1 hari kerja?,"Ya, selama Anda memberikan surat keterangan dokter atau rumah sakit, maka gaji Anda tetap dibayarkan secara penuh. Hal ini sesuai dengan Pasal 93 UU No. 13 Tahun 2003, yang menyatakan bahwa pekerja tidak kehilangan hak atas upah jika tidak masuk karena alasan sah, termasuk sakit. Di perusahaan BUMN, validasi cuti sakit dilakukan secara administratif oleh HR agar seluruh proses tetap transparan dan tidak merugikan pegawai. Kesehatan Anda adalah prioritas, jadi jangan ragu untuk beristirahat jika dibutuhkan.",Sakit
3268009,Apakah ada pelatihan pengembangan karyawan?,"Ya, perusahaan menyediakan program pelatihan berkala baik secara internal maupun eksternal. Ini bisa berupa pelatihan teknis, soft skill, kepemimpinan, hingga sertifikasi tertentu. Dalam Telkom, pengajuan mengikuti program pelatihan dilakukan melalui HCSP / AM EBIS kepada Telkom Corporate University Center, berdasarkan rencana pengembangan kompetensi individu (IDP) atau kebutuhan unit kerja. Output dari pelatihan berupa sertifikat pelatihan, peningkatan kompetensi, dan pencatatan data pengembangan SDM.	",SDM
3268010,Apa saja jenis pelatihan yang disediakan perusahaan?,"Perusahaan menyediakan berbagai jenis pelatihan yang diselenggarakan oleh Telkom Corporate University Center, seperti:
1. Leadership training
2. Technical / functional training
3. Certification
Di Telkom, pelatihan disesuaikan dengan rencana pengembangan individu (IDP) dan kebutuhan bisnis.",SDM
8690253,Apakah ada sistem reward untuk karyawan berprestasi?,"Ya, perusahaan memiliki program penghargaan atau reward untuk pegawai berprestasi, yang bisa berupa finansial atau non-finansial. Untuk reward finansial, Telkom menerapkan skema Jasa Produksi (Jasprod) tahunan, yang dihitung berdasarkan kombinasi Nilai Kinerja Unit (NKU) dan Nilai Kinerja Individu (NKI). Nilai tersebut kemudian dikalibrasi oleh atasan sebelum dikalikan dengan besaran Jasprod. Meskipun kebijakannya sudah ada, pengembangan alat ukur kinerja yang lebih akurat dan valid masih terus disempurnakan. Selain reward finansial, Telkom juga memberikan penghargaan non-finansial melalui program Best Employee dan Best Manager sebagai bentuk recognition.
Secara keseluruhan, sistem reward ini tidak hanya mendorong kinerja jangka pendek, tetapi juga menciptakan dampak transaksional yang menjaga konsistensi kinerja karyawan dalam jangka panjang.",SDM
2973656,"	Apakah perusahaan mendukung kuliah lanjut atau pendidikan lanjutan?","Ya, perusahaan sangat mendukung pegawai yang ingin melanjutkan studi, baik dalam bentuk beasiswa internal, izin belajar, maupun kerjasama dengan institusi pendidikan. Di BUMN, program ini disebut sebagai Employee Development Program, yang bertujuan meningkatkan kompetensi SDM secara berkelanjutan. Namun, perlu adanya pengajuan resmi dan pertimbangan dari atasan langsung serta bagian SDM agar tidak mengganggu tugas harian.",SDM
7009409,Apakah saya bisa bekerja sambil kuliah?,"Ya, Anda bisa melanjutkan kuliah sambil bekerja, asalkan tidak mengganggu tugas dan jam kerja utama. Di beberapa BUMN, ada program izin belajar atau jadwal kerja yang dapat disesuaikan jika mendapat persetujuan atasan. Perusahaan mendukung pengembangan diri, tetapi tetap mengutamakan tanggung jawab terhadap pekerjaan utama.",SDM
1833460,Apakah saya bisa mengajukan beasiswa untuk studi lanjut?,"Di beberapa BUMN, tersedia program beasiswa internal atau kerja sama studi lanjut dengan kampus mitra, baik dalam maupun luar negeri. Pengajuan dilakukan melalui jalur pengembangan karier dan disesuaikan dengan kebutuhan organisasi. Anda dapat berkonsultasi dengan HR jika memiliki rencana melanjutkan pendidikan formal.",SDM
2110618,Apakah karyawan kontrak juga mendapatkan THR?,"Ya, karyawan kontrak tetap berhak atas Tunjangan Hari Raya (THR) selama telah bekerja minimal 1 bulan secara terus-menerus. Hal ini telah diatur dalam Peraturan Menteri Ketenagakerjaan No. 6 Tahun 2016, yang secara eksplisit menyatakan bahwa pekerja dengan hubungan kerja tertentu—termasuk kontrak—wajib menerima THR. Di perusahaan BUMN, implementasi kebijakan ini dilakukan dengan disiplin, karena keterlambatan atau pengurangan hak THR merupakan bentuk pelanggaran terhadap norma ketenagakerjaan.",Tunjangan
6361820,Berapa besar THR yang saya dapatkan?,"Besarnya THR umumnya setara dengan satu kali gaji pokok bagi karyawan yang telah bekerja selama 12 bulan secara penuh. Jika masa kerja Anda belum genap setahun, maka perhitungannya dilakukan secara proporsional sesuai masa kerja. Ketentuan ini tertuang dalam Permenaker No. 6 Tahun 2016 Pasal 3, dan di perusahaan milik negara, pembayaran THR biasanya dikelola secara terpusat untuk memastikan tidak ada keterlambatan dan seluruh pegawai menerima haknya sesuai regulasi.",Tunjangan
